"","Brand_Name"
"1","AMSTEL LIGHT"
"2","BECKS"
"3","BLUE MOON BELGIAN WHITE ALE"
"4","BLUE MOON SEASONAL COLLECTION"
"5","BUD LIGHT"
"6","BUD LIGHT LIME"
"7","BUDWEISER"
"8","BUDWEISER SELECT"
"9","BUSCH"
"10","BUSCH LIGHT"
"11","COORS LIGHT"
"12","CORONA EXTRA"
"13","CORONA LIGHT"
"14","DOS EQUIS XX LAGER ESPECIAL"
"15","GOOSE ISLAND 312 URBAN WHEAT"
"16","GOOSE ISLAND HONKERS ALE"
"17","GOOSE ISLAND SEASONAL"
"18","HEINEKEN"
"19","HEINEKEN PREMIUM LIGHT LAGER"
"20","ICEHOUSE"
"21","LEINENKUGEL BERRY WEISS"
"22","LEINENKUGEL CLASSIC AMBER LAG"
"23","LEINENKUGEL HONEY WEISS"
"24","LEINENKUGEL SEASONAL"
"25","LEINENKUGEL SUNSET WHEAT"
"26","MICHELOB ULTRA"
"27","MICKEYS MALT LIQUOR"
"28","MIKES HARD CRANBERRY LEMONADE"
"29","MIKES HARD LEMONADE"
"30","MILLER CHILL"
"31","MILLER GENUINE DRAFT"
"32","MILLER GENUINE DRAFT LIGHT 64"
"33","MILLER HIGH LIFE"
"34","MILLER LITE"
"35","MILWAUKEES BEST ICE"
"36","MILWAUKEES BEST LIGHT"
"37","MODELO ESPECIAL"
"38","NEW BELGIUM FAT TIRE AMBER AL"
"39","NEWCASTLE BROWN ALE"
"40","OLD STYLE"
"41","PABST BLUE RIBBON"
"42","ROLLING ROCK EXTRA PALE"
"43","SAMUEL ADAMS BOSTON LAGER"
"44","SAMUEL ADAMS SEASONAL"
"45","STELLA ARTOIS LAGER"
"46","TECATE"
