"","Brand_Name"
"1","BLUE MOON BELGIAN WHITE ALE"
"2","BUD LIGHT"
"3","BUD LIGHT GOLDEN WHEAT"
"4","BUD LIGHT LIME"
"5","BUDWEISER"
"6","BUSCH"
"7","COORS LIGHT"
"8","CORONA EXTRA"
"9","CORONA LIGHT"
"10","DOS EQUIS XX LAGER ESPECIAL"
"11","HEINEKEN"
"12","KEYSTONE LIGHT"
"13","MICHELOB ULTRA"
"14","MILLER GENUINE DRAFT LIGHT 64"
"15","MILLER HIGH LIFE"
"16","MILLER LITE"
"17","MODELO ESPECIAL"
"18","NATURAL LIGHT"
"19","SHINER BOCK"
"20","SHINER BOHEMIAN BLACK LAGER"
"21","SMIRNOFF ICE"
"22","TECATE"
