"","Brand_Name"
"1","AMSTEL LIGHT"
"2","BLUE MOON BELGIAN WHITE ALE"
"3","BUD LIGHT"
"4","BUD LIGHT LIME"
"5","BUDWEISER"
"6","COORS"
"7","COORS LIGHT"
"8","CORONA EXTRA"
"9","CORONA LIGHT"
"10","DOS EQUIS XX AMBAR LAGER"
"11","DOS EQUIS XX LAGER ESPECIAL"
"12","GUINNESS DRAUGHT"
"13","HEINEKEN"
"14","HEINEKEN PREMIUM LIGHT LAGER"
"15","KEYSTONE LIGHT"
"16","MICHELOB ULTRA"
"17","MILLER GENUINE DRAFT"
"18","MILLER GENUINE DRAFT LIGHT 64"
"19","MILLER HIGH LIFE"
"20","MILLER LITE"
"21","MODELO ESPECIAL"
"22","NATURAL LIGHT"
"23","NEGRA MODELO"
"24","NEW BELGIUM FAT TIRE AMBER AL"
"25","NEWCASTLE BROWN ALE"
"26","PABST BLUE RIBBON"
"27","PACIFICO CLARA"
"28","ROLLING ROCK EXTRA PALE"
"29","SAMUEL ADAMS SEASONAL"
"30","SIERRA NEVADA PALE ALE"
"31","SMIRNOFF ICE"
"32","STELLA ARTOIS LAGER"
"33","TECATE"
"34","WIDMER HEFEWEIZEN"
