"","Units","Dollars","Total_Gallons"
"BUD LIGHT",933273,11044113.32,1488125.84375
"COORS LIGHT",531178,6862469.26,915918.0625
"CORONA EXTRA",490471,6638813.26,592693.078125
"BUDWEISER",399984,3984387.71,527571.3125
"MILLER HIGH LIFE",314480,958931.97,131884.5
"TECATE",235428,2520045.03,335289.4375
"HEINEKEN",213422,2615650.28,227537.1953125
"MILLER LITE",211346,2583771.07,340688.9375
"BUD ICE",184945,317842.85,46155.375
"MODELO ESPECIAL",164422,1560729.1,144407.4375
"MILLER GENUINE DRAFT",121677,1362894.86,173424.75
"STEEL RESERV 211 HGH GRAVTY L",108040,249018.1,28696.75
"NATURAL LIGHT",107991,1162147.56,206199.75
"FOSTERS LAGER",105524,260504.9,24028.6171875
"NEWCASTLE BROWN ALE",103674,1201986.85,96043.09375
"PACIFICO CLARA",89141,1195519.12,106445.4375
"KING COBRA",74331,131082.05,18761.75
"CORONA LIGHT",73293,973378.07,80844.9375
"BLUE MOON BELGIAN WHITE ALE",70158,776619.4,57618.125
"DOS EQUIS XX LAGER ESPECIAL",68330,924952.23,83951.625
"BUD LIGHT LIME",65087,640553,59940.75
"STELLA ARTOIS LAGER",64439,793741.68,54995.8515625
"MICHELOB ULTRA",62634,756570.22,81132.28125
"KEYSTONE LIGHT",58782,694769.59,125996.25
"CAGUAMA",58585,292796.95,42528
"COORS",58329,665554.6,91456.125
"MICKEYS MALT LIQUOR",55412,205337.98,19301.65625
"BUD LIGHT CHELADA",54062,164972.3,11019.8125
"PABST BLUE RIBBON",46375,353214.17,50669.1875
"NATURAL ICE",43407,474134.08,81592.3125
"HEINEKEN PREMIUM LIGHT LAGER",36777,485565.31,41433.359375
"NEW BELGIUM FAT TIRE AMBER AL",36230,343041.06,23793.6875
"SMIRNOFF ICE",35864,262449.92,19023.3125
"BUSCH",35405,72611.99,10613.4375
"GUINNESS DRAUGHT",34665,356564.05,23279.609375
"SAPPORO PREMIUM DRAFT",34065,172465.68,11646.953125
"FOSTERS PREMIUM ALE",33770,74238.9,6595.703125
"ODOULS",33550,258847.85,25107.28125
"BECKS",33409,401124.92,35138.84375
"SIERRA NEVADA PALE ALE",31443,385096.93,27818.75
"SAMUEL ADAMS SEASONAL",30795,362257.81,28514.921875
"SAMUEL ADAMS BOSTON LAGER",30604,356609.6,28636.96875
"RED STRIPE",29814,248391.6,18080.8515625
"MILLER GENUINE DRAFT LIGHT 64",28742,389838.87,46699.96875
"BUDWEISER CHELADA",28318,84647.45,5793.375
"WIDMER HEFEWEIZEN",26384,320350.63,24559.0078125
"HURRICANE HIGH GRAVITY LAGER",24196,38658.82,4536.75
"NEGRA MODELO",22930,255060.01,19454.4375
"BUDWEISER SELECT 55",21677,219993.55,23853.375
"BLUE MOON SEASONAL COLLECTION",18976,223289.94,15912
"TECATE LIGHT",18153,256140.47,35335.6875
"ROLLING ROCK EXTRA PALE",17992,188437,17301.1875
"AMSTEL LIGHT",17424,215545.48,17499.375
"SMIRNOFF ICE PARTY PACK",15652,205986.9,16385.6875
"SHOCK TOP BELGIAN WHITE ALE",15596,150618.44,11324.71875
"COUNTRY CLUB MALT LIQUOR",15379,31226.21,4805.9375
"PYRAMID HAYWIRE HEFEWEIZEN",15367,176708.97,14012.171875
"DOS EQUIS XX AMBAR LAGER",15316,186171.93,16175.25
"BUD LIGHT GOLDEN WHEAT",14729,149588.96,13220.25
"ICEHOUSE",14312,22330.54,2683.5
